Sort order,"Major area, region, country or area of destination",Notes,Country code,Type of data (a),1990,2000,2010,2013,1990,2000,2010,2013,1990,2000,2010,2013
123,Syrian Arab Republic,,760,C R,  714 140,  832 273, 1 661 922, 1 394 227,  364 077,  424 690,  848 834,  712 219,  350 063,  407 583,  813 088,  682 008
124,Turkey,,792,B R, 1 150 463, 1 263 140, 1 713 454, 1 864 889,  569 423,  607 241,  873 059,  962 759,  581 040,  655 899,  840 395,  902 130
125,United Arab Emirates,,784,C R, 1 306 574, 2 446 675, 7 316 611, 7 826 981,  932 046, 1 757 144, 5 463 515, 5 850 180,  374 528,  689 531, 1 853 096, 1 976 801
126,Yemen,,887,C R,  118 863,  143 495,  285 837,  314 683,  66 298,  80 654,  169 441,  186 611,  52 565,  62 841,  116 396,  128 072
127,EUROPE,,908,, 49 048 341, 56 209 420, 69 174 301, 72 449 908, 23 815 357, 27 106 090, 33 458 221, 34 870 404, 25 232 984, 29 103 330, 35 716 080, 37 579 504
128,Eastern Europe,,923,, 22 036 595, 20 654 032, 19 840 738, 19 678 250, 10 220 383, 9 798 643, 9 490 708, 9 429 768, 11 816 212, 10 855 389, 10 350 030, 10 248 482
129,Belarus,,112,B, 1 248 977, 1 123 586, 1 090 378, 1 085 396,  572 021,  514 593,  499 384,  497 102,  676 956,  608 993,  590 994,  588 294
130,Bulgaria,,100,B,  21 510,  43 360,  78 787,  84 101,  9 047,  18 238,  34 950,  37 457,  12 463,  25 122,  43 837,  46 644
131,Czech Republic,,203,C,  110 394,  220 789,  424 291,  432 776,  57 405,  119 227,  244 211,  249 095,  52 989,  101 562,  180 080,  183 681
132,Hungary,,348,B R,  347 510,  296 957,  436 616,  472 798,  156 185,  138 219,  210 212,  228 988,  191 325,  158 738,  226 404,  243 810
133,Poland,,616,B, 1 127 771,  823 327,  686 060,  663 755,  482 176,  337 424,  281 905,  273 617,  645 595,  485 903,  404 155,  390 138
134,Republic of Moldova,(13),498,B,  578 500,  474 400,  403 401,  391 508,  254 302,  208 541,  187 458,  183 959,  324 198,  265 859,  215 943,  207 549
135,Romania,,642,B,  142 770,  134 239,  172 237,  198 839,  62 035,  63 292,  84 944,  99 745,  80 735,  70 947,  87 293,  99 094
136,Russian Federation,,643,B, 11 524 948, 11 891 829, 11 194 710, 11 048 064, 5 655 422, 5 978 593, 5 514 401, 5 423 915, 5 869 526, 5 913 236, 5 680 309, 5 624 149
137,Slovakia,,703,B R,  41 295,  118 458,  164 131,  149 635,  18 187,  52 170,  76 445,  69 693,  23 108,  66 288,  87 686,  79 942
138,Ukraine,,804,B, 6 892 920, 5 527 087, 5 190 127, 5 151 378, 2 953 603, 2 368 346, 2 356 798, 2 366 197, 3 939 317, 3 158 741, 2 833 329, 2 785 181
139,Northern Europe,,924,, 6 622 199, 7 911 700, 11 197 286, 12 429 626, 3 152 086, 3 712 091, 5 425 740, 5 997 079, 3 470 113, 4 199 609, 5 771 546, 6 432 547
140,Channel Islands,(14),830,B,  40 191,  62 630,  77 482,  82 592,  18 917,  29 448,  36 934,  39 452,  21 274,  33 182,  40 548,  43 140
141,Denmark,,208,B,  235 189,  371 026,  509 740,  556 825,  114 411,  179 977,  246 217,  269 378,  120 778,  191 049,  263 523,  287 447
